,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
71,Cc1c(C=NN2C=Nc3c(C2)[nH]c2c3cccc2)c(=O)oc2c1cc1CCCN3CCCc2c13,DAYJBBFZUPKXCG-UHFFFAOYSA-N,DAYJBBFZUPKXCG,6.0,2016
72,Cc1cc(OCCCn2ccc3c(OCC(=O)O)cccc32)cc(C)c1Cl,DDNXZPTXDTWWIS-UHFFFAOYSA-N,DDNXZPTXDTWWIS,5.7,2017
73,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3cc(CNC(=O)CC(C)C)ccc3)[nH]c3c2ccc(Cl)c3-c2c(C)n(C)nc2C)cc(C)c1Cl,DDQBTVMWOYEMLA-UHFFFAOYSA-N,DDQBTVMWOYEMLA,7.645,2016
74,COc1cc(C=CC(=O)c2ccc(OC)c(OC)c2OC)cc(Cl)c1O,DFERJTHJGHNKRO-UHFFFAOYSA-N,DFERJTHJGHNKRO,5.7,2016
75,O=C(Nc1c(O)c(O)c(O)cc1C(=O)NCCCc1ccccc1)c1ccccc1,DINUCAJXYUJGEX-UHFFFAOYSA-N,DINUCAJXYUJGEX,5.49,2013
76,COc1cc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)ccc1,DJPQAPIYCYUTLR-UHFFFAOYSA-N,DJPQAPIYCYUTLR,6.43,2011
77,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)c3ccccc3)[nH]c3c2cccc3-c2cnccc2)cc(C)c1Cl,DKBRDQPCALJYNG-UHFFFAOYSA-N,DKBRDQPCALJYNG,6.7,2016
78,CC(C)Oc1ccc(-c2cc(C(=O)O)nn2-c2ccc(C(C)C)cc2)cc1,DMCZSKBVBDIGON-UHFFFAOYSA-N,DMCZSKBVBDIGON,5.62,2016
79,Cc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3c2cccc3)cc1,DPTYIVMAPDAPIM-UHFFFAOYSA-N,DPTYIVMAPDAPIM,5.5,2014
80,CC(C)(C)OC(=O)N1CC(Oc2ccc(-c3ccccc3)cc2)CC1C(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,DQGDJLJBMQEHPI-UHFFFAOYSA-N,DQGDJLJBMQEHPI,5.92,2015
81,O=C(O)c1c(CCCOc2ccc3ccccc3c2)c2c(cccc2)[nH]1,DWPPVJZLZOPAAF-UHFFFAOYSA-N,DWPPVJZLZOPAAF,5.12,2013
82,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)c3cccc(C(F)(F)F)c3)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,DXESQVROCCECGJ-UHFFFAOYSA-N,DXESQVROCCECGJ,7.1,2016
83,COC(=O)c1nn(-c2ccc(Oc3ccccc3)cc2)c(-c2ccc(OC(C)C)cc2)c1NC(=O)c1ccc(OC(C)C)cc1,DYUSLCVTUPNKTB-UHFFFAOYSA-N,DYUSLCVTUPNKTB,5.34,2016
84,CC(C)c1c(O)c(O)c(O)c(C(=O)c2ccccc2)c1,DZEBXWALUCQUJM-UHFFFAOYSA-N,DZEBXWALUCQUJM,5.34,2008
85,Cc1ccc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)cc1,FARGPDWBASZQBS-UHFFFAOYSA-N,FARGPDWBASZQBS,6.24,2011
86,COc1c(C=C2N=C(C)C=C2C)[nH]c(-c2cc3c(cccc3)[nH]2)c1,FAXHWWPCICIRHY-UHFFFAOYSA-N,FAXHWWPCICIRHY,5.85,2007
87,Cc1cc(OCCCc2c(C(=O)NS(=O)(=O)CCNC(=O)c3ccc4cc[nH]c4c3)[nH]c3ccccc23)cc(C)c1Cl,FAXIGLMQMJMECB-UHFFFAOYSA-N,FAXIGLMQMJMECB,6.56,2016
