,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
76,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4ccc(I)cc4)C3=O)cc2)cc1,HWNSQXHWQPBURT-UHFFFAOYSA-N,HWNSQXHWQPBURT,5.37,2015
77,CC(C)CC(C(=O)O)N1C(=O)C(=C(c2ccccc2)c2ccccc2)SC1=S,HXLIPKYDERBHRB-UHFFFAOYSA-N,HXLIPKYDERBHRB,4.24,2007
78,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],ICIOZGCFQLUXKY-UHFFFAOYSA-N,ICIOZGCFQLUXKY,8.68,2007
79,Cc1cc(OCCCc2c(C(=O)O)n3CCOc4c(Cl)ccc2c43)cc(C)c1Cl,IDBFWRWCAUOMEX-UHFFFAOYSA-N,IDBFWRWCAUOMEX,5.89,2015
80,CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCCCN)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,IDCSZNWAMXYUBR-UHFFFAOYSA-N,IDCSZNWAMXYUBR,6.64,2006
81,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccccc3)C2=O)C(=O)c2c(C1=O)c(Cc1ccccc1)c(O)c(O)c2,IEJPMWKHSOLTHK-UHFFFAOYSA-N,IEJPMWKHSOLTHK,7.1866666666666665,2010
82,COC(=O)c1ccc(-c2ccc(C=C3SC(=S)N(C(Cc4ccc(Br)cc4)C(=O)NS(=O)(=O)c4ccccc4)C3=O)cc2)cc1,ILOVQOYZWXOETN-UHFFFAOYSA-N,ILOVQOYZWXOETN,6.34,2015
83,O=C(NS(=O)(=O)c1ccccc1)C(Cc1ccccc1)N1C(=O)NC(Cc2ccc(-c3ccc(Cl)cc3)cc2)C1=O,IOLZHRHPTTWVJE-UHFFFAOYSA-N,IOLZHRHPTTWVJE,4.72,2015
84,COC(=O)CCCN=Cc1c2c(O)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(C=NCCCC(=O)OC)c4c3O)c(C)cc2c(C(C)C)c(O)c1O,IOXKTMYZXBRGSF-UHFFFAOYSA-N,IOXKTMYZXBRGSF,6.496666666666666,2016
85,O=c1c(O)cc(C2Oc3c(CC2O)c(O)cc(O)c3)cc2c1c(O)c(O)cc2C1Oc2c(CC1O)c(O)cc(O)c2,IPMYMEWFZKHGAX-UHFFFAOYSA-N,IPMYMEWFZKHGAX,6.16,2007
86,CN(C)C(=O)CC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-],ITEIWMMRRYTVOC-UHFFFAOYSA-N,ITEIWMMRRYTVOC,7.12,2006
87,CCCCNC(=O)c1cc(O)c(O)c(O)c1NC(=O)c1ccccc1,IWZMHFXKLAUBEP-UHFFFAOYSA-N,IWZMHFXKLAUBEP,5.72,2013
88,Cc1ccccc1C=CC(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,IYNYVDXHLBFLIF-UHFFFAOYSA-N,IYNYVDXHLBFLIF,5.77,2016
89,Cc1cc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)ccc1,JECDGNOBGBDIPY-UHFFFAOYSA-N,JECDGNOBGBDIPY,5.22,2011
90,O=C(NS(=O)(=O)c1ccccc1)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,JJSBHPCPSWWCPR-UHFFFAOYSA-N,JJSBHPCPSWWCPR,6.34,2015
91,CC(C)(C)OC(=O)N1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,JOSXDEOFVWZBBY-UHFFFAOYSA-N,JOSXDEOFVWZBBY,5.54,2006
92,COc1ccccc1C=CC(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,JPYRVUWFSUOEJM-UHFFFAOYSA-N,JPYRVUWFSUOEJM,6.14,2016
93,O=c1c2c(nc(-c3ccccc3)n1Cc1ccccc1)c(O)c(O)c(O)c2,JQFLKAJQKGNCSW-UHFFFAOYSA-N,JQFLKAJQKGNCSW,6.02,2013
94,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,JRTFKILMXAYLJD-UHFFFAOYSA-N,JRTFKILMXAYLJD,6.1,2015
95,COc1cc(C=CC(=O)Nc2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)ccc1,JVHXRIVLIHFPMN-UHFFFAOYSA-N,JVHXRIVLIHFPMN,5.72,2016
96,CCCC(=C1SC(=S)N(C(Cc2ccccc2)C(=O)O)C1=O)c1ccccc1,KAOXISQJUWHXIJ-UHFFFAOYSA-N,KAOXISQJUWHXIJ,4.92,2007
97,CCCCCCN=C1C(=O)NC2=C1c1c3c2cccc3c(Sc2ccc(OC)cc2)cc1,KAVJRUFVDNKWQL-UHFFFAOYSA-N,KAVJRUFVDNKWQL,6.69,2013
98,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4c(S(C)(=O)=O)cccc4)CC3)cc2)cc1[N+](=O)[O-],KAYBFGCVDVUQHJ-UHFFFAOYSA-N,KAYBFGCVDVUQHJ,8.34,2007
99,COc1cc(C(=O)N(C)C)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,KHNPOKVVZDVXOH-UHFFFAOYSA-N,KHNPOKVVZDVXOH,5.7,2006
100,COC(=O)CCCCCN=Cc1c2c(O)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(C=NCCCCCC(=O)OC)c4c3O)c(C)cc2c(C(C)C)c(O)c1O,KMMRTGSXFORUFY-UHFFFAOYSA-N,KMMRTGSXFORUFY,6.46,2016
101,Cc1ccc(-c2ccc(OC3CC(C(=O)NC(Cc4ccccc4)C(=O)NS(=O)(=O)c4ccc(Cl)c([N+](=O)[O-])c4)N(C(=O)OC(C)(C)C)C3)cc2)cc1,KOYXUTSDUYAPIZ-UHFFFAOYSA-N,KOYXUTSDUYAPIZ,5.34,2015
102,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4cnccc4)CC3)cc2)cc1[N+](=O)[O-],KPJCNJSKWMADIG-UHFFFAOYSA-N,KPJCNJSKWMADIG,9.0,2007
103,Cc1cc2c(c(O)c1-c1c(C)cc3c(C(C)C)c(O)c(O)c(C=NCC(=O)O)c3c1O)c(C=NCC(=O)O)c(O)c(O)c2C(C)C,KSUWNCNJOCESIT-UHFFFAOYSA-N,KSUWNCNJOCESIT,6.65,2016
104,CSCCC(C(=O)NS(=O)(=O)c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,KXVJEFFCRYTEOE-UHFFFAOYSA-N,KXVJEFFCRYTEOE,6.02,2015
105,O=C(O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(OCOc3ccc(C=C4SC(=S)N(C(Cc5ccccc5)C(=O)O)C4=O)cc3)cc2)SC1=S,KYTPZOARRDNICZ-UHFFFAOYSA-N,KYTPZOARRDNICZ,5.37,2008
106,Cc1nn(-c2cc(-c3ccc(N(C)C)cc3)cc(O)c2)c(O)c1N=Nc1cc2c(cccc2)cc1,KZAHBIPISNRKLQ-UHFFFAOYSA-N,KZAHBIPISNRKLQ,4.47,2015
107,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4ccc(Br)cc4)C3=O)cc2)cc1,KZIGHPDMLXCFDK-UHFFFAOYSA-N,KZIGHPDMLXCFDK,6.21,2015
108,O=C(O)CSc1cc(NS(=O)(=O)c2cccc(-c3ccccc3)c2)c2ccccc2c1O,LBXNABMPJYFQLL-UHFFFAOYSA-N,LBXNABMPJYFQLL,5.11,2014
109,CC(C)C(C(=O)NS(=O)(=O)c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,LCGFXQFEZVBSNX-UHFFFAOYSA-N,LCGFXQFEZVBSNX,6.2,2015
110,Cc1cc(OCCCc2c(C(=O)O)sc3cc(Cl)ccc23)cc(C)c1Cl,LDHKTVULLKPADL-UHFFFAOYSA-N,LDHKTVULLKPADL,6.1,2013
111,O=C(Nc1nc2c(cccc2)s1)c1c2CN(c3nc(C(=O)O)c(CCCCOc4ccc(-n5ncc6c5ncnc6)cc4)s3)CCc2ccc1,LDYWUDKMPUSGDJ-UHFFFAOYSA-N,LDYWUDKMPUSGDJ,9.85,2014
