,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
66,1.0,O=C(O)C1O[C@@H](Oc2c(O)cc3oc(-c4ccc(O)cc4)cc(=O)c3c2O)[C@H](O)[C@@H](O)[C@@H]1O,HBLWMMBFOKSEKW-QUUFUFMESA-N,HBLWMMBFOKSEKW
67,0.0,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,VHYCDWMUTMEGQY-UHFFFAOYSA-N,VHYCDWMUTMEGQY
68,1.0,O=C(c1ccc(OCCN2CCCCC2)cc1)C1c2ccc(O)cc2SC1c1ccc(O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,ZLCRYZWNODABFX-KYFGKGBSSA-N,ZLCRYZWNODABFX
69,0.0,O=C1N=NC(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,XYTGQZZBWOWKTA-UHFFFAOYSA-N,XYTGQZZBWOWKTA
70,1.0,CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCN=C(N)N,GDBQQVLCIARPGH-UHFFFAOYSA-N,GDBQQVLCIARPGH
71,1.0,O=C(O)CCc1cc2c(cc1O)Oc1cc(O)c(CCC(=O)O)cc1C21OC(=O)c2cc(C(=O)O)ccc21,DPEZGLOXYHZHIE-UHFFFAOYSA-N,DPEZGLOXYHZHIE
72,0.0,N#Cc1c2c(c(-c3cccs3)n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCc1ccccc1-2,SIMXXVPFGGJRMS-KXWVNSKHSA-N,SIMXXVPFGGJRMS
73,1.0,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2ccccc21,CHADEQDQBURGHL-UHFFFAOYSA-N,CHADEQDQBURGHL
74,0.0,CC(=O)OC(C)(C)C=CC(=O)[C@](C)(O)[C@H]1[C@@H](O)C[C@]2(C)[C@H]3CC=C4[C@@H](CC(=O)C(O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C,OZYMDEMWUNOFQY-GPODPUMMSA-N,OZYMDEMWUNOFQY
75,1.0,C[N+]1(C)CC(=CC=Cc2ccccc2)C(=O)C(=CC=Cc2ccccc2)C1,BWGCJHMLEDGPST-UHFFFAOYSA-N,BWGCJHMLEDGPST
76,0.0,CN(C)CC1=Cc2c(-c3c(O)[nH]c(O)c3-c3cn(C)c4ccccc34)c3ccccc3n2CC1,KOZRJPSKPBCVNJ-UHFFFAOYSA-N,KOZRJPSKPBCVNJ
77,0.0,Brc1ccc(-c2nc(CN3CCN(C4CCCCC4)CC3)co2)cc1,QCNPSKSEOJYUHX-UHFFFAOYSA-N,QCNPSKSEOJYUHX
78,0.0,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,ZMISODWVFHHWNR-UHFFFAOYSA-N,ZMISODWVFHHWNR
79,1.0,CN1CCC(=C(c2ccc(F)cc2)c2cc(Cl)cs2)CC1,GBDJWJGSTCFVGC-UHFFFAOYSA-N,GBDJWJGSTCFVGC
80,1.0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,YMARZQAQMVYCKC-OEMFJLHTSA-N,YMARZQAQMVYCKC
81,1.0,O=c1cc(-c2ccccc2)oc2cc(OS(=O)(=O)O)cc(O)c12,LCYBZJWVXDHNAT-UHFFFAOYSA-N,LCYBZJWVXDHNAT
82,0.0,O=[N+]([O-])c1cccc2nc3ccccc3c(NCCCCCNc3c4ccccc4nc4cccc([N+](=O)[O-])c34)c12,NNOSNVDRJWZODO-UHFFFAOYSA-N,NNOSNVDRJWZODO
83,1.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,LNHWXBUNXOXMRL-VWLOTQADSA-N,LNHWXBUNXOXMRL
84,1.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,UIEATEWHFDRYRU-UHFFFAOYSA-N,UIEATEWHFDRYRU
85,1.0,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2,QGJUIPDUBHWZPV-UGTKGIOISA-N,QGJUIPDUBHWZPV
86,1.0,O=C1c2c(c3c4ccc(O)cc4n(C4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,QMVPQBFHUJZJCS-AKGYMOPHSA-N,QMVPQBFHUJZJCS
87,1.0,NC(=O)N1c2ccccc2C2OC2c2ccccc21,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,ZRWWEEVEIOGMMT
88,0.0,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,MXWJVTOOROXGIU
89,1.0,CN1CC[C@@H](c2c(O)cc(O[C@@H]3OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,UHXNBWBWHRRRLQ-DTIKBACRSA-N,UHXNBWBWHRRRLQ
90,1.0,Cc1cc(=O)oc2cc(OC3OC(O)[C@@H](O)C(O)[C@H]3O)ccc12,LNMYNBNYYAEPHD-DSBVKLNQSA-N,LNMYNBNYYAEPHD
91,0.0,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,SGDBTWWWUNNDEQ
92,1.0,Oc1ccc(-c2cn3c(O)c(Cc4ccc(F)cc4)nc3c(Cc3ccccc3)n2)cc1,MEMQQZHHXCOKGG-UHFFFAOYSA-N,MEMQQZHHXCOKGG
93,0.0,CC(C)=CCc1cc(C(=O)C=Cc2ccc(O)c(O)c2)c(O)cc1O,FEALTYYKRMRXTG-UHFFFAOYSA-N,FEALTYYKRMRXTG
94,1.0,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,UWKQSNNFCGGAFS-XIFFEERXSA-N,UWKQSNNFCGGAFS
95,0.0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3c4ccccc4nc4c(C(=O)NNCCO)cccc34)cc2)n1,XEWUQXLYVKSWLS-UHFFFAOYSA-N,XEWUQXLYVKSWLS
96,0.0,C=C[C@@]1(C)C[C@H](O)[C@@H]2C(=C)C(=O)O[C@@H]2[C@@H]1C(=C)C=O,ZTRSVJILTKDCGR-CXOVXGEYSA-N,ZTRSVJILTKDCGR
97,0.0,CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(=O)O)CC(=O)O,UDUSOMRJOPCWHT-UHFFFAOYSA-N,UDUSOMRJOPCWHT
98,1.0,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,QOIGKGMMAGJZNZ-UHFFFAOYSA-N,QOIGKGMMAGJZNZ
99,1.0,COc1ccc(CC2C(=O)NC(C)C(=O)N(C)C3C(=O)N(C)C(Cc4ccc(O)c(c4)Oc4ccc(cc4)[C@@H]3O)C(=O)NC(C)C(=O)NC(C)C(=O)N2C)cc1,TWOWSRSKGJSZHZ-JGIZAIJMSA-N,TWOWSRSKGJSZHZ
100,1.0,COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,ZIWFCOIGUNPHPM-HKUYNNGSSA-N,ZIWFCOIGUNPHPM
101,1.0,CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(C)=O,FMYKJLXRRQTBOR-UHFFFAOYSA-N,FMYKJLXRRQTBOR
102,1.0,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,KJADKKWYZYXHBB-XBWDGYHZSA-N,KJADKKWYZYXHBB
103,1.0,COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5,STRBMZGNUKWSIY-UHFFFAOYSA-N,STRBMZGNUKWSIY
