,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
487,0.0,C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,MAXXXDSMDPPTEE-UHFFFAOYSA-N,MAXXXDSMDPPTEE
488,0.0,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,RYOOHIUJEJZCFT-UHFFFAOYSA-N,RYOOHIUJEJZCFT
489,0.0,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,FLNXBVJLPJNOSI-UHFFFAOYSA-N,FLNXBVJLPJNOSI
490,0.0,N=C(N)N/N=C/c1c(Cl)cccc1Cl,WDZVGELJXXEGPV-YIXHJXPBSA-N,WDZVGELJXXEGPV
491,0.0,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,JMPFSEBWVLAJKM-UHFFFAOYSA-N,JMPFSEBWVLAJKM
492,0.0,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,WNMJYKCGWZFFKR-UHFFFAOYSA-N,WNMJYKCGWZFFKR
493,0.0,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,JRWZLRBJNMZMFE-UHFFFAOYSA-N,JRWZLRBJNMZMFE
494,0.0,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,DDUHZTYCFQRHIY-RBHXEPJQSA-N,DDUHZTYCFQRHIY
495,0.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,GVEAYVLWDAFXET-XGHATYIMSA-N,GVEAYVLWDAFXET
496,0.0,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,MDNWOSOZYLHTCG-UHFFFAOYSA-N,MDNWOSOZYLHTCG
497,0.0,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,DTIFFPXSSXFQCJ-UHFFFAOYSA-N,DTIFFPXSSXFQCJ
498,0.0,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,IQFYYKKMVGJFEH-XLPZGREQSA-N,IQFYYKKMVGJFEH
499,1.0,CC/C=C\C[C@H](O)/C=C/[C@@H]1C(C/C=C\CCCC(=O)O)C(=O)C[C@H]1O,CBOMORHDRONZRN-HVMRKENXSA-N,CBOMORHDRONZRN
500,0.0,CCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,UEOCXVZQUVACSZ-AVPPRXQKSA-N,UEOCXVZQUVACSZ
501,0.0,CC[N+](C)(CC)CC(O)CCC(=O)O,KDMIKVKFDGAPNT-UHFFFAOYSA-O,KDMIKVKFDGAPNT
502,0.0,CC[N+](C)(CC)CCCCCCC(=O)O,VRYDNRURJDEXLC-UHFFFAOYSA-O,VRYDNRURJDEXLC
503,0.0,CC[N+](CC)(CC)CCCCCCC(=O)O,SEJSAZCQWCHZBD-UHFFFAOYSA-O,SEJSAZCQWCHZBD
504,0.0,CC[N+](CC)(CC)CC(O)CCC(=O)O,HLNHYDXQCJDPGW-UHFFFAOYSA-O,HLNHYDXQCJDPGW
505,0.0,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O,LJQLQCAXBUHEAZ-UHFFFAOYSA-N,LJQLQCAXBUHEAZ
506,0.0,O=P(O)(O)OC[C@H]1O[C@@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,RNBGYGVWRKECFJ-ZXXMMSQZSA-N,RNBGYGVWRKECFJ
507,0.0,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NBSCHQHZLSJFNQ-VFUOTHLCSA-N,NBSCHQHZLSJFNQ
508,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,WDJUZGPOPHTGOT
509,0.0,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,SHIBSTMRCDJXLN-KCZCNTNESA-N,SHIBSTMRCDJXLN
510,0.0,CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,CXTATJFJDMJMIY-UHFFFAOYSA-O,CXTATJFJDMJMIY
511,0.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,HJYYPODYNSCCOU-WXCWORQHSA-N,HJYYPODYNSCCOU
512,0.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,UVTNFZQICZKOEM
513,0.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,IZEKFCXSFNUWAM
514,0.0,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV
515,0.0,Cc1ccccc1C(OCCN(C)C)c1ccccc1,QVYRGXJJSLMXQH-UHFFFAOYSA-N,QVYRGXJJSLMXQH
516,1.0,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,FELGMEQIXOGIFQ
517,1.0,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,XDRYMKDFEDOLFX
518,1.0,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,OEBPANQZQGQPHF-UHFFFAOYSA-N,OEBPANQZQGQPHF
519,1.0,O=C1C=CC(=O)c2c1c(O)c1c(NCCNCCO)ccc(NCCNCCO)c1c2O,BWGNRRGTNFKGQK-UHFFFAOYSA-N,BWGNRRGTNFKGQK
520,1.0,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW
521,1.0,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-IXVTTXLYSA-N,CBVCZFGXHXORBI
522,1.0,CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-BWGGSIGWSA-N,NCDNCNXCDXHOMX
523,1.0,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,UWKQSNNFCGGAFS-XIFFEERXSA-N,UWKQSNNFCGGAFS
524,1.0,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,YBSJFWOBGCMAKL-UHFFFAOYSA-N,YBSJFWOBGCMAKL
525,1.0,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,XUFQPHANEAPEMJ-UHFFFAOYSA-N,XUFQPHANEAPEMJ
526,0.0,Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,GSNHKUDZZFZSJB-QYOOZWMWSA-N,GSNHKUDZZFZSJB
527,1.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,RAPZEAPATHNIPO-UHFFFAOYSA-N,RAPZEAPATHNIPO
528,0.0,C[C@]12CCC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-VLNSYWPESA-N,MFYSYFVPBJMHGN
529,0.0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-N,LOUPRKONTZGTKE
530,0.0,CC(=O)S[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,RRQQBPFUONLKTL-ZHYRCANASA-N,RRQQBPFUONLKTL
531,1.0,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,SYNOVMDJYWJCON-UHFFFAOYSA-N,SYNOVMDJYWJCON
532,0.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,GXDALQBWZGODGZ-UHFFFAOYSA-N,GXDALQBWZGODGZ
533,0.0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,RMMXLENWKUUMAY-UHFFFAOYSA-N,RMMXLENWKUUMAY
534,0.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-UHFFFAOYSA-N,OGHNVEJMJSYVRP
535,1.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,UCFGDBYHRUNTLO-QHCPKHFHSA-N,UCFGDBYHRUNTLO
536,1.0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,FGXWKSZFVQUSTL
537,1.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,IENZQIKPVFGBNW-UHFFFAOYSA-N,IENZQIKPVFGBNW
538,1.0,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,XASIMHXSUQUHLV-UHFFFAOYSA-N,XASIMHXSUQUHLV
539,1.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,BGSZAXLLHYERSY-XQIGCQGXSA-N,BGSZAXLLHYERSY
540,1.0,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,GHXZTYHSJHQHIJ
