,status_pampa,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
845,1.0,O=C(c1ccc(Cn2ccc3cccc(Cl)c32)cc1)N1CC[C@H](N2CCCC2)C1,QRZWUPXCLYWBIP-NRFANRHFSA-N,QRZWUPXCLYWBIP
846,1.0,N#Cc1ccc(Cc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,MWFLFGPUPFXZPC-UHFFFAOYSA-N,MWFLFGPUPFXZPC
847,1.0,Cc1[nH]c2ccccc2c(=O)c1-c1ccccc1,OFYQHVQAZBGWIQ-UHFFFAOYSA-N,OFYQHVQAZBGWIQ
848,1.0,C=CC(=O)c1ccc(CCCCCC)cc1,IINHTEWASPUCMH-UHFFFAOYSA-N,IINHTEWASPUCMH
849,1.0,Clc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1,KYGBWCBTIJLPCN-UHFFFAOYSA-N,KYGBWCBTIJLPCN
850,1.0,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccccc3F)cc1)C2,BLNXPNHAXPHDBZ-YBFXNURJSA-N,BLNXPNHAXPHDBZ
851,1.0,Cc1ccc(S(=O)(=O)N2CC(=O)N(S(=O)(=O)c3ccc(C)cc3)CC2=O)cc1,DAFVMWVFXRJGCI-UHFFFAOYSA-N,DAFVMWVFXRJGCI
852,1.0,CC(C)OC(=O)c1ccnc2cc(C(OCCN3CCCCC3)c3cccc(N)c3)sc12,CTRINUKXZJSOSR-UHFFFAOYSA-N,CTRINUKXZJSOSR
853,1.0,CCOC(=O)c1ccc2nc(-c3ccc(C(=O)OC)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,OEIOKCICXJJBHT-UHFFFAOYSA-N,OEIOKCICXJJBHT
854,1.0,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2nc(-c3ccc(CO)cc3)ccc12,PMZGGKOETSVBSK-UHFFFAOYSA-N,PMZGGKOETSVBSK
855,1.0,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,DBUWWODVSCMGDY-UHFFFAOYSA-N,DBUWWODVSCMGDY
856,1.0,COc1ccc2oc(C(=O)NCCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,PPHUUQGGAWURKS-UHFFFAOYSA-N,PPHUUQGGAWURKS
857,1.0,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1C(F)(F)F,RFHNKJKKJCIJIA-UHFFFAOYSA-N,RFHNKJKKJCIJIA
858,1.0,Cc1nc(=NCc2cccnc2)sn1-c1ccccc1,KKAOEWBXPKUQOL-UHFFFAOYSA-N,KKAOEWBXPKUQOL
859,1.0,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cc([N+](=O)[O-])ccc1Cl,DRGZMXAEBZECCO-UHFFFAOYSA-N,DRGZMXAEBZECCO
860,1.0,CCCCCCc1ccc(C(=O)CCN(C)Cc2ccco2)cc1,LSYGPUMMLSCEHD-UHFFFAOYSA-N,LSYGPUMMLSCEHD
861,1.0,O=C(Nc1nc2ccc(F)cc2s1)c1cc([N+](=O)[O-])ccc1Cl,OVCTWWKLEQADQF-UHFFFAOYSA-N,OVCTWWKLEQADQF
862,1.0,CC1(C)CCc2[nH]c3cccc(Cl)c3c(=O)c2C1,CACPGGGQVAZFOX-UHFFFAOYSA-N,CACPGGGQVAZFOX
863,1.0,c1ccc(Oc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,IEMBQFCUMBJOEI-UHFFFAOYSA-N,IEMBQFCUMBJOEI
864,1.0,CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](CN1CC[C@@H](N3Cc4ccccc4NC3=O)C1)C2,BUYVTPGEWYQFCF-RSPOEFSDSA-N,BUYVTPGEWYQFCF
865,0.0,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(C(=O)O)cc21,JYTMHPPQZOEYCF-MRXNPFEDSA-N,JYTMHPPQZOEYCF
866,1.0,C=c1cc2c(O)c(O)c3c(C)c(CN4CCN(c5ccc(F)cc5)CC4)oc3c2cc1=C,RHGIZBYJIMFMOH-UHFFFAOYSA-N,RHGIZBYJIMFMOH
867,1.0,CCCCCCc1ccc(C(=O)CCN(CCCC)CCCC)cc1,UMFRWWULZNWTFF-UHFFFAOYSA-N,UMFRWWULZNWTFF
868,1.0,C/C(=C/C[C@@]12OC(C)(C)[C@@H]3CC(=CC4C(=O)c5c(O)cccc5O[C@]431)C2=O)COC(=O)CN1CCCCC1,GRYAEYQMIHJSCJ-RVOYIXJMSA-N,GRYAEYQMIHJSCJ
869,0.0,Cc1cc(NC(=O)Nc2ccc(C(N)=O)cc2)c2ccccc2n1,IKMLNFAQFLUWHD-UHFFFAOYSA-N,IKMLNFAQFLUWHD
870,0.0,CCCSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,SQVHDWXVHYTEIC-UHFFFAOYSA-N,SQVHDWXVHYTEIC
871,1.0,COc1ccc(NC(=O)Nc2cc(C)nc3ccccc23)cc1Cl,XHNLBHIDLMMRFX-UHFFFAOYSA-N,XHNLBHIDLMMRFX
872,1.0,CCOC(=O)C(CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1c[nH]c2ccccc12,FBUMKRRRONRQCL-UHFFFAOYSA-N,FBUMKRRRONRQCL
873,1.0,CC(C)(C)NC(=O)Nc1ncccc1OCc1ccccc1,AQZADHLLCRISGP-UHFFFAOYSA-N,AQZADHLLCRISGP
874,1.0,O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,KLGKWPHPNYLNFS-UHFFFAOYSA-N,KLGKWPHPNYLNFS
875,0.0,CCN(CC)CCCNc1ccc2c(c1)-c1nccc3cccc(c13)C2=O,XNETYORDRXPMRM-UHFFFAOYSA-N,XNETYORDRXPMRM
876,1.0,N#Cc1ccc(N2CCC(Nc3c(C(N)=O)cnc4[nH]ccc34)CC2)nc1,XFSMWLHLZSVJAB-UHFFFAOYSA-N,XFSMWLHLZSVJAB
877,1.0,CCCCCCS(=O)(=O)c1cc(Cl)c(C(=O)CCN2CCOCC2)c(Cl)c1,LKXNEUBTAXYPAG-UHFFFAOYSA-N,LKXNEUBTAXYPAG
878,1.0,COc1ccc2[nH]cc(CCNC(=O)CC3CCN(Cc4ccccc4C)CC3)c2c1,YIQUNQOTSWAGGT-UHFFFAOYSA-N,YIQUNQOTSWAGGT
879,1.0,CN(C)C(=O)c1cccc(-n2sc3ccccc3c2=O)c1,TUPPZGFKINLCEX-UHFFFAOYSA-N,TUPPZGFKINLCEX
880,1.0,CC(=O)N(C)CCc1cc(Br)c(OCCCN=c2ncn(C)c3[nH]cnc23)c(Br)c1,LKEDXLIDSSAMKU-UHFFFAOYSA-N,LKEDXLIDSSAMKU
881,1.0,CCCCCCS(=O)(=O)c1cc(C)c(C(=O)CCN2CC2C)c(C)c1,NCVFXEZVQBNROF-UHFFFAOYSA-N,NCVFXEZVQBNROF
882,0.0,CCSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,GWPZAFFIOBYFPC-UHFFFAOYSA-N,GWPZAFFIOBYFPC
883,1.0,O=c1c2c([nH]c3cc(F)c(F)cc13)CCCC2,YPQBBWINNUBCNC-UHFFFAOYSA-N,YPQBBWINNUBCNC
884,1.0,O=C1CN(S(=O)(=O)c2cccc(Cl)c2)C(=O)CN1S(=O)(=O)c1cccc(Cl)c1,ZZGFEYLJMXLEMZ-UHFFFAOYSA-N,ZZGFEYLJMXLEMZ
885,1.0,COc1ccc(F)cc1CNCCCNc1ccnc2cc(CCc3ccccc3)ccc12,OCIPPFPAZWRRQL-UHFFFAOYSA-N,OCIPPFPAZWRRQL
886,1.0,CN(C)CCNC(=O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)nc1,LTSGHDUZMWKTJB-UHFFFAOYSA-N,LTSGHDUZMWKTJB
887,1.0,O=C(c1ccccc1)N1CCc2oc(-c3ccc(F)cn3)nc2C1,FOPJMYBQTFPHTL-UHFFFAOYSA-N,FOPJMYBQTFPHTL
888,1.0,C=c1cc2c(O)c(O)c3c(C)c(CNc4ccc(CN5CCOCC5)cc4)oc3c2cc1=C,YBJZSXWXXMXJHS-UHFFFAOYSA-N,YBJZSXWXXMXJHS
889,0.0,Cc1c(Cl)cccc1CCCCOc1ccc(/C=C/c2cccc3c(CCCC(=O)O)cn(CC(=O)O)c23)cc1,BRQUMMADGSMAMB-SAPNQHFASA-N,BRQUMMADGSMAMB
890,1.0,C/C(=C/C[C@@]12OC(C)(C)[C@@H]3CC(=CC4C(=O)c5c(O)cccc5O[C@]431)C2=O)COC(=O)CN1CCOCC1,DGXRNTROEWVOCY-CKBDXMMVSA-N,DGXRNTROEWVOCY
891,1.0,O=C(Nc1ccc(F)c(-c2nc3ccccc3s2)c1)c1cc([N+](=O)[O-])ccc1Cl,YXYILCAQZGRHFP-UHFFFAOYSA-N,YXYILCAQZGRHFP
