molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
203627,5.03,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,JFJZZMVDLULRGK-URLMMPGGSA-O,Q96FL8
138792,6.3,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,YKGYIDJEEQRWQH-UHFFFAOYSA-N,Q96FL8
152610,5.96,NC1=NCC2c3ccccc3Cc3ccccc3N12,WHWZLSFABNNENI-UHFFFAOYSA-N,Q96FL8
1950277,5.42,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(CCc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,HCIUBYMUNUSUNO-LJWNLINESA-N,Q96T53
1950274,5.22,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(Cc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,DLHLAUJNPITBMI-FWEHEUNISA-N,Q96T53
2087504,5.04,N[C@@H](Cc1ccc(O)c(Cc2ccccc2)c1)C(=O)O,FULCCCZBEUTMED-AWEZNQCLSA-N,Q01650
2305588,4.02,COC(=O)c1cc(C)cc(C[C@H](N)C(=O)O)c1,NFNNFFRHXLDFNV-JTQLQIEISA-N,Q01650
2087497,5.14,N[C@@H](Cc1cccc(Cc2ccccc2)c1)C(=O)O,WDAJRFDYHJVFMA-HNNXBMFYSA-N,Q01650
92589,5.18,N[C@@H](Cc1cccc(-c2ccccc2)c1)C(=O)O,XXPHIHDDXCFWMS-AWEZNQCLSA-N,Q01650
19883,4.7,N[C@@H](Cc1c[nH]cn1)C(=O)O,HNDVDQJCIGZPNO-YFKPBYRVSA-N,Q01650
84482,4.17,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,Q01650
353820,4.34,N[C@H](Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-MRVPVSSYSA-N,Q01650
2316049,4.08,N[C@@H](Cc1cccc(CO)c1)C(=O)O,OGLFMTLLZNGZPP-VIFPVBQESA-N,Q01650
2305022,4.02,CNC(=O)c1cccc(C[C@H](N)C(=O)O)c1,MOUPFWHCJUMJAN-VIFPVBQESA-N,Q01650
2303906,4.04,CC(=O)c1cccc(C[C@H](N)C(=O)O)c1,IBCKYXVMEMSMQM-JTQLQIEISA-N,Q01650
2306274,4.44,COC(=O)c1cccc(C[C@H](N)C(=O)O)c1,DCMBHDKEVFGGFS-VIFPVBQESA-N,Q01650
