,SMILES_raw,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
45,N[C@@H](Cc1ccc(O)c(Cc2ccccc2)c1)C(=O)O,Substrate,NC(Cc1ccc(O)c(Cc2ccccc2)c1)C(=O)O,FULCCCZBEUTMED-UHFFFAOYSA-N,FULCCCZBEUTMED
46,COC(=O)c1cc(C)cc(C[C@H](N)C(=O)O)c1,Non-substrate,COC(=O)c1cc(C)cc(CC(N)C(=O)O)c1,NFNNFFRHXLDFNV-UHFFFAOYSA-N,NFNNFFRHXLDFNV
47,N[C@@H](Cc1cccc(Cc2ccccc2)c1)C(=O)O,Substrate,NC(Cc1cccc(Cc2ccccc2)c1)C(=O)O,WDAJRFDYHJVFMA-UHFFFAOYSA-N,WDAJRFDYHJVFMA
48,N[C@@H](Cc1cccc(-c2ccccc2)c1)C(=O)O,Substrate,NC(Cc1cccc(-c2ccccc2)c1)C(=O)O,XXPHIHDDXCFWMS-UHFFFAOYSA-N,XXPHIHDDXCFWMS
49,CNC(=O)c1cccc(C[C@H](N)C(=O)O)c1,Non-substrate,CNC(=O)c1cccc(CC(N)C(=O)O)c1,MOUPFWHCJUMJAN-UHFFFAOYSA-N,MOUPFWHCJUMJAN
50,CC(=O)c1cccc(C[C@H](N)C(=O)O)c1,Non-substrate,CC(=O)c1cccc(CC(N)C(=O)O)c1,IBCKYXVMEMSMQM-UHFFFAOYSA-N,IBCKYXVMEMSMQM
51,COC(=O)c1cccc(C[C@H](N)C(=O)O)c1,Non-substrate,COC(=O)c1cccc(CC(N)C(=O)O)c1,DCMBHDKEVFGGFS-UHFFFAOYSA-N,DCMBHDKEVFGGFS
52,COC(=O)Cc1cccc(C[C@H](N)C(=O)O)c1,Non-substrate,COC(=O)Cc1cccc(CC(N)C(=O)O)c1,UUYOJJYHZFAUQI-UHFFFAOYSA-N,UUYOJJYHZFAUQI
53,CC(C)(C)OC(=O)c1cccc(C[C@H](N)C(=O)O)c1,Non-substrate,CC(C)(C)OC(=O)c1cccc(CC(N)C(=O)O)c1,ZFAGSQFMGXPASJ-UHFFFAOYSA-N,ZFAGSQFMGXPASJ
54,N[C@@H](Cc1cccc(C(=O)OCCO)c1)C(=O)O,Non-substrate,NC(Cc1cccc(C(=O)OCCO)c1)C(=O)O,XKUGEYZFKRHITK-UHFFFAOYSA-N,XKUGEYZFKRHITK
