,SMILES_raw,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
1708,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1OC,Substrate,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1OC,CGZOIAGYXKVWFL-UHFFFAOYSA-N,CGZOIAGYXKVWFL
1709,CSc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,CSc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,MIBFXMSKQAFTKF-UHFFFAOYSA-N,MIBFXMSKQAFTKF
1710,Oc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,Oc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,JBOCXWYPXHSPIZ-UHFFFAOYSA-N,JBOCXWYPXHSPIZ
1711,Oc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,Substrate,Oc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,OJOIFEWZZYPZND-UHFFFAOYSA-N,OJOIFEWZZYPZND
1712,CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,HLNOEIZQSMYUEH-UHFFFAOYSA-N,HLNOEIZQSMYUEH
1713,FC(F)(F)c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,FC(F)(F)c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,UYDBKTHSWIROFS-UHFFFAOYSA-N,UYDBKTHSWIROFS
1714,Fc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,Fc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,ISFYTUFWAZIQML-UHFFFAOYSA-N,ISFYTUFWAZIQML
1715,Clc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,Clc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,GKJZXTZJGGWCFQ-UHFFFAOYSA-N,GKJZXTZJGGWCFQ
1716,COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3cccnc3n2)c1,ZVTYUYAROCTTLR-UHFFFAOYSA-N,ZVTYUYAROCTTLR
1717,COc1cccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3cccnc3n2)c1,UPRWMHYZHYPOPM-UHFFFAOYSA-N,UPRWMHYZHYPOPM
1718,COc1cccc(-c2nc(Nc3cccc(C#N)c3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3cccc(C#N)c3)c3cccnc3n2)c1,RWITWHYNDWFZMS-UHFFFAOYSA-N,RWITWHYNDWFZMS
1719,COc1cccc(-c2nc(Nc3ccc(C#N)cc3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3ccc(C#N)cc3)c3cccnc3n2)c1,CYPHXGDCKLHLRF-UHFFFAOYSA-N,CYPHXGDCKLHLRF
1720,COc1cccc(-c2nc(Nc3cccc(O)c3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3cccc(O)c3)c3cccnc3n2)c1,FSNBSDWGEVEOQB-UHFFFAOYSA-N,FSNBSDWGEVEOQB
1721,COc1cccc(-c2nc(Nc3ccc(O)cc3)c3cccnc3n2)c1,Substrate,COc1cccc(-c2nc(Nc3ccc(O)cc3)c3cccnc3n2)c1,BUDGFSHXCGLJRQ-UHFFFAOYSA-N,BUDGFSHXCGLJRQ
